Designator,Device,Footprint,"Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y",Pins,Layer,Rotation,SMD,Comment
CAUX1,GRM155R71C104KA88D,C0402,20.447mm,120.65mm,20.447mm,120.65mm,19.902mm,120.65mm,2,T,0,Yes,100nF
LC1,GRM155R71C104KA88D,C0402,22.987mm,124.841mm,22.987mm,124.841mm,22.987mm,125.386mm,2,T,270,Yes,100nF
COUT1,CC0603KRX5R6BB106,C0603,23.749mm,122.555mm,23.749mm,122.555mm,23.049mm,122.555mm,2,T,0,Yes,10uF
R4,0603WAF5101T5E,R0603,22.606mm,113.157mm,22.606mm,113.157mm,21.853mm,113.157mm,2,T,0,Yes,5.1kΩ
R5,0603WAF5101T5E,R0603,22.606mm,114.554mm,22.606mm,114.554mm,21.853mm,114.554mm,2,T,0,Yes,5.1kΩ
RENABLE1,RC0603FR-0710KL,R0603,19.431mm,115.189mm,19.431mm,115.189mm,18.678mm,115.189mm,2,T,0,Yes,10K
RFBT1,FRC0603F8453TS,R0603,22.86mm,119.38mm,22.86mm,119.38mm,22.107mm,119.38mm,2,T,0,Yes,845kΩ
RFBB1,"FRC0603J104 TS",R0603,22.86mm,117.856mm,22.86mm,117.856mm,23.613mm,117.856mm,2,T,180,Yes,100kΩ
RPGOOD1,"FRC0603J104 TS",R0603,22.606mm,115.951mm,22.606mm,115.951mm,21.853mm,115.951mm,2,T,0,Yes,100kΩ
U2,LM317LIPK,SOT-89_L4.5-W2.5-P1.50-LS4.2-BR,27.686mm,123.825mm,27.686mm,123.825mm,26.33mm,125.325mm,3,T,180,Yes,LM317LIPK
U3,TPS63070RNMR,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,19.558mm,117.983mm,19.558mm,117.983mm,20.574mm,117.233mm,15,T,90,Yes,TPS63070RNMR
SW4,MK-12C02-G020,SW-SMD_MK-12C02-G020,17.907mm,110.744mm,17.907mm,110.744mm,15.657mm,112.235mm,7,T,0,Yes,MK-12C02-G020
U8,GT-USB-7010ASV,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,27.432mm,113.538mm,27.432mm,113.538mm,25.652mm,109.218mm,16,T,90,No,GT-USB-7010ASV
L2,WPN4020H2R2MT,IND-SMD_L4.0-W4.0,15.367mm,120.142mm,15.367mm,120.142mm,15.367mm,118.542mm,2,T,90,Yes,2.2uH
LC3,GRM155R71C104KA88D,C0402,24.511mm,124.841mm,24.511mm,124.841mm,24.511mm,125.386mm,2,T,270,Yes,100nF
R,SM03B-SURS-TF(LF)(SN),CONN-SMD_SM03B-SURS-TF-LF-SN,17.78mm,128.016mm,17.78mm,128.016mm,18.58mm,127.117mm,5,T,0,Yes,SM03B-SURS-TF(LF)(SN)
C3,GRM31CR61E476ME44L,C1206,27.559mm,119.888mm,27.559mm,119.888mm,25.966mm,119.888mm,2,T,0,Yes,47uF
C4,CL21A226MAQNNNE,C0805,16.51mm,115.443mm,16.51mm,115.443mm,16.51mm,114.443mm,2,T,90,Yes,22uF
C5,CL21A226MAQNNNE,C0805,14.478mm,115.443mm,14.478mm,115.443mm,14.478mm,116.443mm,2,T,270,Yes,22uF
L,SM03B-SURS-TF(LF)(SN),CONN-SMD_SM03B-SURS-TF-LF-SN,29.337mm,128.016mm,29.337mm,128.016mm,30.137mm,127.117mm,5,T,0,Yes,SM03B-SURS-TF(LF)(SN)
CSR1,WR06X5360FTL,R0603,21.463mm,127.508mm,21.463mm,127.508mm,21.463mm,126.755mm,2,T,90,Yes,536Ω
CSR3,WR06X5360FTL,R0603,25.781mm,127.508mm,25.781mm,127.508mm,25.781mm,126.755mm,2,T,90,Yes,536Ω
U1,LM317LIPK,SOT-89_L4.5-W2.5-P1.50-LS4.2-BR,19.685mm,123.825mm,19.685mm,123.825mm,21.041mm,122.325mm,3,T,0,Yes,LM317LIPK
